fdc_id,unit,description,grams
168113,fl oz,fl oz,29.8
168113,bar,bar,74
168114,oz,oz,28.25
168114,cup,cup,226
168115,tbsp,tbsp,14
168115,cup,cup,224
168116,cup,cup,26
168116,bag,"bag, single serving",28
168116,chip,chips,1.8
168117,cup,cup,253
168117,fl oz,fl oz,31.6
168118,cup,cup pieces,138
168118,slice,"slice, medium",28
168118,slice,"slice, thick",43
168118,slice,"slice, thin",14
168119,cup,cup,144
168120,oz,"oz, boneless",28.333
168120,medium,"medium slice (approx 3"" x 2"" x 1/4"")",28
168120,thick,"thick slice (approx 3"" x 2"" x 3/8"")",42
168121,cup,"cup, diced",140
168121,cup,"cup, shredded",113
168121,cubic,cubic inch,18
168121,slice,slice,21
168122,tsp,tsp dry,1.7
168123,cup,cup (8 fl oz),240
168123,fl oz,fl oz,30
168124,slice,slice,28
168124,cubic,cubic inch,15
168124,cup,"cup, shredded",108
168124,cup,"cup, diced",132
168126,medium,"medium (2-1/2"" dia)",36
168126,roll,"roll (pan, dinner, or small roll) (2"" square, 2"" high)",28
168127,cup,"cup, crushed",88
168127,bag,"bag, single serving",28
168127,chip,chips,1.8
168128,cup,cup,253
168129,cup,cup,58
168130,bar,bar,54
168131,frankfurter,frankfurter,57
168131,cup,"cup, sliced",151
168132,serving,serving 1.75 fl oz pop,55
168136,cup,cup,148
168136,cubic,cubic inch,10.2
168137,cup,"cup, crushed",63
168137,chip,chips,1.6
168138,cup,cup (1 NLEA serving),40
168139,oz,oz,28.35
168141,slice,slice (1 oz),28
168141,cubic,cubic inch,15
168141,cup,"cup, shredded",108
168141,cup,"cup, diced",132
168142,serving,serving,0.1
168143,serving,serving,9.9
168143,package,"package 1.4 oz box, 4 servings",40
168145,tbsp,tbsp,19
168145,cup,cup,300
168146,serving,serving,8
168146,package,package 4 servings,32
168148,leg,leg,45
168149,piece,"piece (5-1/2"" x 1-1/2"" x 1/2"")",80
168149,cubic,"cubic inch, boneless",17
168149,cup,"cup, cooked",136
168150,cup,cup,135
168150,fruit,fruit,3
168153,cup,"cup, sliced",180
168153,fruit,"fruit (2"" dia)",69
168153,nlea,NLEA serving,148
168154,fruit,fruit without refuse,19
168155,fruit,"fruit (2"" dia)",67
168155,nlea,NLEA serving,67
168156,cup,cup,242
168156,fl oz,fl oz,30.8
168156,lime,lime yields,44
168157,cup,cup,246
168157,fl oz,fl oz,30.8
168158,cup,cup,160
168159,cup,cup,234
168159,prune,prunes with liquid,17.2
168160,cup,cup,132
168161,cup,cup,280
168162,cup,"cup, pitted",174
